X,Y,Z,TYPE,BOUND,com_area,mount,veg,port,h_dev,rivers,USAGE_ALL
0.0,0.0,92.967,land,no_bound,N,N,N,N,N,N,
0.0,3.0,844.872.123.766,land,no_bound,N,N,N,N,N,N,
0.0,6.0,744.293.127.924,land,no_bound,N,N,N,N,N,N,
0.0,9.0,671.496.108.834,land,no_bound,N,N,N,N,N,N,
0.0,12.0,668.663.486.098,land,no_bound,N,N,N,N,N,N,
0.0,15.0,676.507.278.752,land,no_bound,N,N,N,N,N,N,
0.0,18.0,865.163.194.972,land,no_bound,N,N,N,N,N,N,
0.0,21.0,817.211.643.043,land,no_bound,N,N,N,N,N,N,
0.0,24.0,839.580.975.940,land,no_bound,N,N,N,N,N,N,
0.0,27.0,967.802.865.970,land,no_bound,N,N,N,N,N,N,
0.0,30.0,100.213.007.078,land,no_bound,N,N,N,N,N,N,
0.0,33.0,113.419.615.232,land,no_bound,N,N,N,N,N,N,
0.0,36.0,982.262.605.290,land,no_bound,N,N,N,N,N,N,
0.0,39.0,859.543.270.379,land,no_bound,N,N,N,N,N,N,
0.0,42.0,848.023.704.108,land,no_bound,N,N,N,N,N,N,
0.0,45.0,818.822.333.037,land,no_bound,N,N,N,N,N,N,
0.0,48.0,624.748.770.204,land,no_bound,N,N,N,N,N,N,
0.0,51.0,432.769.694.908,land,no_bound,N,N,N,N,N,N,
0.0,54.0,384.737.620.420,land,no_bound,N,N,N,N,N,N,
0.0,57.0,289.301.495.476,land,no_bound,N,N,N,N,N,N,
0.0,60.0,0.759465763571,land,no_bound,N,N,N,N,N,N,
0.0,63.0,106.134.122.138,land,no_bound,N,N,N,N,N,N,
0.0,66.0,146.843.854.215,land,no_bound,N,N,N,N,N,N,
0.0,69.0,0.156067632854,land,no_bound,N,N,N,N,N,N,
0,72,0,sea,no_bound,N,N,N,N,N,N,
0,75,0,sea,no_bound,N,N,N,N,N,N,
0,78,0,sea,no_bound,N,N,N,N,N,N,
0,81,0,sea,no_bound,N,N,N,N,N,N,
0,84,0,sea,no_bound,N,N,N,N,N,N,
0,87,0,sea,no_bound,N,N,N,N,N,N,
0,90,0,sea,no_bound,N,N,N,N,N,N,
0,93,0,sea,no_bound,N,N,N,N,N,N,
0,96,0,sea,no_bound,N,N,N,N,N,N,
